Driver,Team,Compound,Sector1Time,Sector2Time,Sector3Time,TrackStatus,Session,AvgTemp,RainAmount_mm,RainProbability,WindSpeed_mps,Pressure_hPa,Humidity,UVIndex,DewPoint_C,LapTimeSeconds,StintLength,IsFastLap,DriverAvgPace,DriverSessionAvgPace,TeamMedianPace,TeamSessionMedianPace,IsSpanishGP,IsFP1,IsFP2,IsFP3,SessionProgression,IsCleanAir,AdjustedLapTime,DriverSessionLapCount,TrackEvolutionFactor
BOR,Kick Sauber,HARD,0 days 00:00:37.974000,0 days 00:00:49.121000,0 days 00:00:36.520000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,123.615,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,136.594575,19,1.0
BOR,Kick Sauber,HARD,0 days 00:01:00.614000,0 days 00:00:41.094000,0 days 00:00:39.831000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,141.539,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,156.40059499999998,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:22.741000,0 days 00:00:30.843000,0 days 00:00:23.369000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,76.953,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,85.03306500000001,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:27.807000,0 days 00:00:33.724000,0 days 00:00:30.024000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,91.555,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,101.16827500000001,19,1.0
BOR,Kick Sauber,SOFT,0 days 00:00:22.282000,0 days 00:00:30.097000,0 days 00:00:22.776000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,75.155,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,83.046275,19,1.0
BOR,Kick Sauber,SOFT,0 days 00:00:34.068000,0 days 00:00:47.607000,0 days 00:00:40.457000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,122.132,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,134.95586,19,1.0
BOR,Kick Sauber,SOFT,0 days 00:00:50.653000,0 days 00:00:47.667000,0 days 00:00:26.708000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,125.028,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,138.15594000000002,19,1.0
BOR,Kick Sauber,SOFT,0 days 00:00:22.275000,0 days 00:00:30.372000,0 days 00:00:27.466000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.113,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,88.52486499999999,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:24.088000,0 days 00:00:32.711000,0 days 00:00:24.671000,12.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,81.47,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,0,90.02435,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:24.084000,0 days 00:00:32.642000,0 days 00:00:24.504000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,81.23,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,89.75915,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:24.104000,0 days 00:00:32.546000,0 days 00:00:24.667000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,81.317,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,89.855285,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:24.022000,0 days 00:00:32.691000,0 days 00:00:24.677000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,81.39,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,89.93595,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:23.727000,0 days 00:00:32.544000,0 days 00:00:24.397000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.668,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,89.13814,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:23.912000,0 days 00:00:32.629000,0 days 00:00:24.763000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,81.304,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,89.84092,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:27.307000,0 days 00:00:55.910000,0 days 00:00:57.004000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,140.221,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,154.944205,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:48.189000,0 days 00:00:41.624000,0 days 00:00:32.102000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,121.915,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,134.71607500000002,19,1.0
HAD,Racing Bulls,HARD,0 days 00:00:22.870000,0 days 00:00:31.073000,0 days 00:00:23.442000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,77.385,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,85.510425,22,1.0
HAD,Racing Bulls,HARD,0 days 00:00:37.813000,0 days 00:00:53.759000,0 days 00:00:29.632000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,121.204,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,133.93042,22,1.0
HAD,Racing Bulls,HARD,0 days 00:00:22.612000,0 days 00:00:30.674000,0 days 00:00:23.281000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,76.567,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,84.606535,22,1.0
HAD,Racing Bulls,HARD,0 days 00:00:39.390000,0 days 00:00:48.481000,0 days 00:00:40.113000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,127.984,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,141.42231999999998,22,1.0
HAD,Racing Bulls,HARD,0 days 00:00:22.697000,0 days 00:00:30.730000,0 days 00:00:23.164000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,76.591,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,84.633055,22,1.0
HAD,Racing Bulls,HARD,0 days 00:00:42.828000,0 days 00:00:55.681000,0 days 00:00:41.845000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,140.354,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,155.09117,22,1.0
HAD,Racing Bulls,HARD,0 days 00:00:36.186000,0 days 00:00:45.294000,0 days 00:00:35.510000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,116.99,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,129.27394999999999,22,1.0
HAD,Racing Bulls,HARD,0 days 00:00:22.382000,0 days 00:00:30.568000,0 days 00:00:23.193000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,76.143,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,84.138015,22,1.0
HAD,Racing Bulls,HARD,0 days 00:00:33.710000,0 days 00:00:41.428000,0 days 00:00:30.934000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,106.072,0,0,97.74053448275862,101.96154545454546,84.0695,93.9625,1,1,0,0,1,1,117.20956,22,1.0
